"n"	"m"	"method"	"mae"	"tae"
"553"	39	5	"SIM"	0.00115685	0.957842
"554"	40	5	"SIM"	0.00110937	0.948809
"555"	41	5	"SIM"	0.00106994	0.975482
"556"	42	5	"SIM"	0.00103293	0.959594
"557"	43	5	"SIM"	0.00102818	1.00203
"558"	44	5	"SIM"	0.000998788	1.00565
"559"	45	5	"SIM"	0.00093303	0.97064
"560"	46	5	"SIM"	0.000955371	1.00835
"561"	47	5	"SIM"	0.000956325	1.04164
"562"	48	5	"SIM"	0.000915784	1.04136
"563"	49	5	"SIM"	0.000898498	1.0456
"564"	50	5	"SIM"	0.000879707	1.05621
"565"	51	5	"SIM"	0.000868412	1.06335
"566"	1	6	"SIM"	0.168833	0.461469
"567"	2	6	"SIM"	0.0647574	0.495226
"568"	3	6	"SIM"	0.0342098	0.556579
"569"	4	6	"SIM"	0.0183325	0.549254
"570"	5	6	"SIM"	0.0117886	0.574034
"571"	6	6	"SIM"	0.00774169	0.528988
"572"	7	6	"SIM"	0.00566372	0.555902
"573"	8	6	"SIM"	0.0041134	0.531917
"574"	9	6	"SIM"	0.0037876	0.624273
"575"	10	6	"SIM"	0.00314578	0.645998
"576"	11	6	"SIM"	0.00259679	0.638179
"577"	12	6	"SIM"	0.0022667	0.683128
"578"	13	6	"SIM"	0.00193474	0.695112
"579"	14	6	"SIM"	0.00184201	0.773124
"580"	15	6	"SIM"	0.00161727	0.792553
"581"	16	6	"SIM"	0.00150166	0.839745
"582"	17	6	"SIM"	0.00131005	0.839442
"583"	18	6	"SIM"	0.00128661	0.90734
"584"	19	6	"SIM"	0.00118864	0.915904
"585"	20	6	"SIM"	0.00115142	0.975622
"586"	21	6	"SIM"	0.00103699	0.986574
"587"	22	6	"SIM"	0.00100616	1.02496
"588"	23	6	"SIM"	0.000948503	1.04076
"589"	24	6	"SIM"	0.000951121	1.10589
"590"	25	6	"SIM"	0.00085874	1.11302
"591"	26	6	"SIM"	0.000822751	1.1409
"592"	1	7	"SIM"	0.159822	0.569113
"593"	2	7	"SIM"	0.0561634	0.570659
"594"	3	7	"SIM"	0.0245045	0.581678
"595"	4	7	"SIM"	0.01399	0.638444
"596"	5	7	"SIM"	0.00798261	0.628533
"597"	6	7	"SIM"	0.0053549	0.658415
"598"	7	7	"SIM"	0.00354167	0.631796
"599"	8	7	"SIM"	0.00288486	0.726764
"600"	9	7	"SIM"	0.00226764	0.779827
"601"	10	7	"SIM"	0.00182003	0.8111
"602"	11	7	"SIM"	0.00156676	0.880716
"603"	12	7	"SIM"	0.00136788	0.955858
"604"	13	7	"SIM"	0.00123687	1.02701
"605"	14	7	"SIM"	0.00110186	1.07292
"606"	15	7	"SIM"	0.000974862	1.12236
"607"	16	7	"SIM"	0.000898337	1.17757
"608"	1	8	"SIM"	0.148158	0.523669
